iteratia,x1,x2,x3,x4,eroarea
0,0,0,0,0
1,1.26785714,0.54028436,-1.03468208,1.29559748
2,1.22761107,0.48121632,-1.11770429,1.13163178,1.2955974842767297
3,1.22686654,0.49269092,-1.11930072,1.13455795,0.16396570925816234
4,1.22685281,0.49267983,-1.11918084,1.13462708,0.011474598294291927
5,1.22685285,0.49267268,-1.11917792,1.13462873,0.00011987808529534405
