iteratia,x1,x2,x3,x4,eroarea
0,0,0,0,0
1,1.23529412,1.1031746,-0.4017094,1.0
2,1.01481222,0.95246722,-0.31887764,0.93654751,1.2352941176470589
3,1.00950557,0.97405697,-0.33500857,0.94784863,0.22048190154850533
4,1.00911471,0.97633663,-0.33572328,0.94669759,0.021589744434562963
5,1.00909333,0.97645903,-0.33576946,0.94663035,0.0022796602415632305
6,1.00909205,0.97646641,-0.33577209,0.94662629,0.00012240417814546323
