iteratia,x1,x2,x3,eroarea
0,0,0,0
1,1.5,-0.375,2.4
2,1.003125,-1.01671875,2.124375,2.4000000000000004
3,0.97458984,-0.99068848,2.00173828,0.6417187499999999
4,1.00083801,-1.00052609,2.0016947,0.12263671874999993
5,0.99961648,-0.99985262,1.99997149,0.026248168945312345
6,1.00002377,-1.000012,2.00002472,0.001723217010497713
7,0.99999386,-0.99999755,1.99999883,0.0004072877168653788
