iteratia,x1,x2,x3,x4,eroarea
0,0,0,0,0
1,1.26785714,0.54028436,-1.03468208,1.29559748,
2,1.20485274,0.48121632,-1.1207772,1.13074841,1.2955974842767297
3,1.22790418,0.49382622,-1.11714559,1.13710203,0.16484907676236493
4,1.22643978,0.49244719,-1.11925363,1.13452924,0.023051433215798722
5,1.22687863,0.49269711,-1.1191398,1.13467454,0.0025727848682859378
6,1.226845,0.49266803,-1.11917988,1.13462618,0.0004388502532461924
